0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:17 +0200] "GET /WebShopREST/rest/menadzer/objekat/simona HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:18 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:18 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviObjekat/5 HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:18 +0200] "GET /WebShopREST/rest/menadzer/objekat/undefined HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:20 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:20 +0200] "GET /WebShopREST/rest/menadzer/dobaviMenadzera/18 HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:20 +0200] "GET /WebShopREST/rest/porudzbina/dobaviPorudzbinePoObjektima/5 HTTP/1.1" 200 21195
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:25 +0200] "GET /WebShopREST/profile.css HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:25 +0200] "GET /WebShopREST/rest/korisnik/ucitaj/simona HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:25 +0200] "GET /WebShopREST/rest/menadzer/objekat/simona HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:13:27 +0200] "POST /WebShopREST/rest/korisnik/izlogujse HTTP/1.1" 204 -
